,brand,Trend,Month,Year
0,aquaguard,83,6,2015
1,aquaguard,120,6,2015
2,aquaguard,194,6,2015
3,aquaguard,262,6,2015
4,aquaguard,378,6,2015
5,aquaguard,454,6,2015
6,aquaguard,527,6,2015
7,aquaguard,581,6,2015
8,aquaguard,661,6,2015
9,aquaguard,767,6,2015
10,aquaguard,827,6,2015
11,aquaguard,871,6,2015
12,eureka,135,7,2015
13,eureka,253,7,2015
14,eureka,440,7,2015
15,eureka,639,7,2015
16,eureka,976,7,2015
17,eureka,1182,7,2015
18,eureka,1449,7,2015
19,eureka,1724,7,2015
20,eureka,2071,7,2015
21,eureka,2522,7,2015
22,eureka,2770,7,2015
23,eureka,2940,7,2015
24,hul,13,4,2017
25,hul,33,4,2017
26,hul,48,4,2017
27,hul,78,4,2017
28,hul,112,4,2017
29,hul,137,4,2017
30,hul,168,4,2017
31,hul,212,4,2017
32,hul,248,4,2017
33,hul,263,4,2017
34,hul,263,4,2017
35,hul,263,4,2017
36,kent,239,1,2015
37,kent,401,1,2015
38,kent,557,1,2015
39,kent,703,1,2015
40,kent,1011,1,2015
41,kent,1188,1,2015
42,kent,1363,1,2015
43,kent,1566,1,2015
44,kent,1925,1,2015
45,kent,2372,1,2015
46,kent,2509,1,2015
47,kent,2607,1,2015
48,lg,0,8,2016
49,lg,0,8,2016
50,lg,0,8,2016
51,lg,1,8,2016
52,lg,2,8,2016
53,lg,2,8,2016
54,lg,2,8,2016
55,lg,2,8,2016
56,lg,2,8,2016
57,lg,2,8,2016
58,lg,2,8,2016
59,lg,2,8,2016
60,livpure,20,12,2017
61,livpure,28,12,2017
62,livpure,44,12,2017
63,livpure,58,12,2017
64,livpure,140,12,2017
65,livpure,230,12,2017
66,livpure,321,12,2017
67,livpure,454,12,2017
68,livpure,662,12,2017
69,livpure,1177,12,2017
70,livpure,1373,12,2017
71,livpure,1562,12,2017
72,panasonic,6,2,2016
73,panasonic,7,2,2016
74,panasonic,13,2,2016
75,panasonic,19,2,2016
76,panasonic,23,2,2016
77,panasonic,31,2,2016
78,panasonic,35,2,2016
79,panasonic,36,2,2016
80,panasonic,39,2,2016
81,panasonic,41,2,2016
82,panasonic,43,2,2016
83,panasonic,44,2,2016
84,prestige,0,6,2014
85,prestige,0,6,2014
86,prestige,0,6,2014
87,prestige,0,6,2014
88,prestige,1,6,2014
89,prestige,1,6,2014
90,prestige,1,6,2014
91,prestige,1,6,2014
92,prestige,1,6,2014
93,prestige,1,6,2014
94,prestige,1,6,2014
95,prestige,1,6,2014
96,pureit,107,12,2017
97,pureit,161,12,2017
98,pureit,206,12,2017
99,pureit,256,12,2017
100,pureit,367,12,2017
101,pureit,432,12,2017
102,pureit,504,12,2017
103,pureit,560,12,2017
104,pureit,643,12,2017
105,pureit,833,12,2017
106,pureit,886,12,2017
107,pureit,932,12,2017
108,tata,32,6,2015
109,tata,65,6,2015
110,tata,104,6,2015
111,tata,146,6,2015
112,tata,212,6,2015
113,tata,251,6,2015
114,tata,290,6,2015
115,tata,329,6,2015
116,tata,350,6,2015
117,tata,371,6,2015
118,tata,383,6,2015
119,tata,388,6,2015
120,whirlpool,1,8,2016
121,whirlpool,2,8,2016
122,whirlpool,2,8,2016
123,whirlpool,3,8,2016
124,whirlpool,5,8,2016
125,whirlpool,6,8,2016
126,whirlpool,7,8,2016
127,whirlpool,7,8,2016
128,whirlpool,9,8,2016
129,whirlpool,12,8,2016
130,whirlpool,14,8,2016
131,whirlpool,14,8,2016
132,a.o.smith,0,8,2016
133,a.o.smith,0,8,2016
134,a.o.smith,0,8,2016
135,a.o.smith,0,8,2016
136,a.o.smith,0,8,2016
137,a.o.smith,0,8,2016
138,a.o.smith,0,8,2016
139,a.o.smith,0,8,2016
140,a.o.smith,0,8,2016
141,a.o.smith,0,8,2016
142,a.o.smith,0,8,2016
143,a.o.smith,0,8,2016
144,blue,2,10,2016
145,blue,3,10,2016
146,blue,5,10,2016
147,blue,6,10,2016
148,blue,7,10,2016
149,blue,7,10,2016
150,blue,7,10,2016
151,blue,9,10,2016
152,blue,11,10,2016
153,blue,14,10,2016
154,blue,16,10,2016
155,blue,18,10,2016
156,moonbow,0,7,2017
157,moonbow,0,7,2017
158,moonbow,0,7,2017
159,moonbow,0,7,2017
160,moonbow,0,7,2017
161,moonbow,0,7,2017
162,moonbow,1,7,2017
163,moonbow,1,7,2017
164,moonbow,1,7,2017
165,moonbow,4,7,2017
166,moonbow,10,7,2017
167,moonbow,11,7,2017
168,aqua,0,7,2017
169,aqua,0,7,2017
170,aqua,0,7,2017
171,aqua,0,7,2017
172,aqua,0,7,2017
173,aqua,0,7,2017
174,aqua,1,7,2017
175,aqua,5,7,2017
176,aqua,11,7,2017
177,aqua,19,7,2017
178,aqua,25,7,2017
179,aqua,25,7,2017
180,protek,0,10,2017
181,protek,0,10,2017
182,protek,0,10,2017
183,protek,0,10,2017
184,protek,0,10,2017
185,protek,0,10,2017
186,protek,0,10,2017
187,protek,11,10,2017
188,protek,56,10,2017
189,protek,182,10,2017
190,protek,232,10,2017
191,protek,259,10,2017
192,nasaka,0,10,2017
193,nasaka,0,10,2017
194,nasaka,0,10,2017
195,nasaka,0,10,2017
196,nasaka,0,10,2017
197,nasaka,0,10,2017
198,nasaka,0,10,2017
199,nasaka,0,10,2017
200,nasaka,0,10,2017
201,nasaka,6,10,2017
202,nasaka,7,10,2017
203,nasaka,7,10,2017
204,dr.,1,12,2016
205,dr.,4,12,2016
206,dr.,8,12,2016
207,dr.,9,12,2016
208,dr.,13,12,2016
209,dr.,19,12,2016
210,dr.,26,12,2016
211,dr.,31,12,2016
212,dr.,35,12,2016
213,dr.,41,12,2016
214,dr.,47,12,2016
215,dr.,48,12,2016
