Brand_name,TotalPositive__Reviews,Month,Year,positive
revlon,77,1,2017,68.83116883116884
revlon,48,2,2017,79.16666666666666
revlon,38,3,2017,92.10526315789474
revlon,103,4,2017,78.64077669902912
revlon,98,5,2017,90.81632653061224
revlon,108,6,2017,82.4074074074074
revlon,67,7,2017,82.08955223880598
revlon,43,8,2017,76.74418604651163
revlon,94,9,2017,85.1063829787234
revlon,82,10,2017,80.48780487804879
revlon,108,11,2017,38.88888888888889
revlon,60,12,2017,60.0
loreal,296,1,2017,67.56756756756756
loreal,407,2,2017,71.49877149877149
loreal,380,3,2017,67.63157894736842
loreal,293,4,2017,72.6962457337884
loreal,855,5,2017,76.37426900584795
loreal,570,6,2017,73.15789473684211
loreal,683,7,2017,76.7203513909224
loreal,446,8,2017,59.865470852017935
loreal,1275,9,2017,75.52941176470588
loreal,1238,10,2017,80.45234248788368
loreal,877,11,2017,73.88825541619156
loreal,1304,12,2017,84.73926380368098
streax,42,1,2017,52.38095238095239
streax,55,2,2017,72.72727272727273
streax,41,3,2017,56.09756097560976
streax,26,4,2017,84.61538461538461
streax,6,5,2017,50.0
streax,44,6,2017,86.36363636363636
streax,31,7,2017,80.64516129032258
streax,72,8,2017,90.27777777777779
streax,40,9,2017,75.0
streax,99,10,2017,71.71717171717171
streax,35,11,2017,97.14285714285714
streax,30,12,2017,80.0
bblunt,273,1,2017,76.92307692307693
bblunt,179,2,2017,74.86033519553072
bblunt,135,3,2017,63.70370370370371
bblunt,133,4,2017,72.18045112781954
bblunt,152,5,2017,71.05263157894737
bblunt,211,6,2017,72.98578199052133
bblunt,248,7,2017,88.30645161290323
bblunt,165,8,2017,81.21212121212122
bblunt,235,9,2017,71.91489361702128
bblunt,251,10,2017,85.2589641434263
bblunt,281,11,2017,74.73309608540926
bblunt,470,12,2017,81.70212765957446
garnier,100,3,2017,76.0
garnier,25,5,2017,88.0
garnier,72,6,2017,66.66666666666666
garnier,25,7,2017,96.0
garnier,122,8,2017,99.18032786885246
garnier,155,10,2017,79.35483870967742
garnier,351,11,2017,92.5925925925926
garnier,89,12,2017,100.0
crazy,5,1,2017,60.0
crazy,20,3,2017,90.0
crazy,19,5,2017,89.47368421052632
crazy,15,6,2017,93.33333333333333
crazy,5,7,2017,100.0
crazy,8,9,2017,100.0
crazy,15,10,2017,60.0
crazy,13,12,2017,92.3076923076923
vlcc,20,1,2017,100.0
vlcc,21,2,2017,100.0
vlcc,13,3,2017,84.61538461538461
vlcc,2,6,2017,100.0
vlcc,16,7,2017,93.75
vlcc,5,8,2017,80.0
vlcc,12,9,2017,100.0
vlcc,11,10,2017,100.0
vlcc,9,11,2017,100.0
vlcc,9,12,2017,100.0
kama,19,3,2017,84.21052631578947
kama,5,6,2017,100.0
kama,20,7,2017,65.0
kama,12,8,2017,91.66666666666666
kama,14,9,2017,100.0
kama,2,10,2017,100.0
kama,7,11,2017,100.0
kama,4,12,2017,100.0
khadi,3,7,2017,100.0
khadi,20,8,2017,100.0
khadi,7,10,2017,85.71428571428571
schwarzkopf,16,1,2017,75.0
schwarzkopf,4,2,2017,100.0
schwarzkopf,5,3,2017,20.0
schwarzkopf,2,5,2017,100.0
schwarzkopf,23,6,2017,69.56521739130434
schwarzkopf,3,7,2017,100.0
godrej,8,1,2017,87.5
godrej,15,2,2017,100.0
godrej,5,3,2017,100.0
godrej,4,4,2017,50.0
godrej,19,5,2017,84.21052631578947
godrej,58,6,2017,91.37931034482759
godrej,13,7,2017,100.0
godrej,16,8,2017,100.0
godrej,126,9,2017,73.80952380952381
godrej,29,10,2017,100.0
godrej,14,11,2017,100.0
godrej,28,12,2017,96.42857142857143
richfeel,4,2,2017,25.0
richfeel,1,4,2017,100.0
richfeel,5,6,2017,100.0
richfeel,7,8,2017,100.0
richfeel,14,10,2017,85.71428571428571
richfeel,2,12,2017,100.0
hair4real,8,7,2017,62.5
hair4real,5,8,2017,60.0
hair4real,19,12,2017,89.47368421052632
dove,10,1,2017,90.0
dove,28,3,2017,75.0
dove,1,6,2017,100.0
dove,3,7,2017,66.66666666666666
dove,28,8,2017,92.85714285714286
dove,23,10,2017,95.65217391304348
dove,8,11,2017,100.0
dove,7,12,2017,100.0
krishkare,2,11,2017,100.0
krishkare,4,12,2017,100.0
biotique,23,3,2017,78.26086956521739
biotique,28,5,2017,85.71428571428571
biotique,19,6,2017,94.73684210526315
biotique,15,7,2017,73.33333333333333
biotique,24,10,2017,87.5
dexe,4,7,2017,100.0
dexe,4,12,2017,100.0
hair,4,11,2017,100.0
surya,11,6,2017,90.9090909090909
surya,2,8,2017,0.0
gratia,3,11,2017,100.0
